industry,raw_hts,raw_item,raw_rate,finished_hts,finished_item,finished_rate,gap_pts
Food Processing,12024180,"Peanuts (ground-nuts), not seed, not roasted or cooked, in shell, not subject to gen note 15 or add. US note 2 to Ch.12",163.8,20081115,"Peanut butter and paste, nesoi, not subject to gen note 15 or add US note 5 to Ch. 20",131.8,32.0
Food Processing,07122020,Dried onion powder or flour,29.8,20019034,"Onions, prepared or preserved by vinegar or acetic acid",3.6,26.2
Food Processing,02013080,"Bovine meat cuts, boneless, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2",26.4,16025021,"Of bovine animals, other, in airtight containers",1.4,25.0
Food Processing,02011050,"Bovine carcasses and halves, fresh or chld., other than descr. in gen. note 15 or add. US note 3 to Ch. 2",26.4,16025021,"Of bovine animals, other, in airtight containers",1.4,25.0
Food Processing,02012080,"Bovine meat cuts, w/bone in, fresh or chld., not descr in gen. note 15 or add. US note 3 to Ch. 2",26.4,16025021,"Of bovine animals, other, in airtight containers",1.4,25.0
Food Processing,02023080,"Bovine meat cuts, boneless, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2",26.4,16025021,"Of bovine animals, other, in airtight containers",1.4,25.0
Food Processing,02021050,"Bovine carcasses and halves, frozen, other than descr. in gen. note 15 or add. US note 3 to Ch. 2",26.4,16025021,"Of bovine animals, other, in airtight containers",1.4,25.0
Food Processing,02022080,"Bovine meat cuts, w/bone in, frozen, not descr in gen. note 15 or add. US note 3 to Ch. 2",26.4,16025021,"Of bovine animals, other, in airtight containers",1.4,25.0
Apparel & Textiles,51111960,"Woven fabrics, with 85 percent or more by weight of carded wool/fine animal hair nesoi, weight over 300 g/m2",25.0,61079950,"Men's or boys' bathrobes, dressing gowns, & similar articles, of textile materials (except wool), containing 70% or more by wt of silk, k/c",0.8,24.2
Apparel & Textiles,51119090,"Woven fabrics of carded wool/fine animal hair, containing less than 85% wool or hair, nesoi",25.0,61079950,"Men's or boys' bathrobes, dressing gowns, & similar articles, of textile materials (except wool), containing 70% or more by wt of silk, k/c",0.8,24.2
Apparel & Textiles,51121160,"Woven fabrics of combed wool/fine animal hair, over 85% wool or hair, weight not over 200 g/m2, nesoi",25.0,61079950,"Men's or boys' bathrobes, dressing gowns, & similar articles, of textile materials (except wool), containing 70% or more by wt of silk, k/c",0.8,24.2
Apparel & Textiles,51121130,"Woven fabrics of combed wool/fine animal hair, over 85% wool or hair, weight not over 200 g/m2, avg wool fiber diameter 18.5 micron or <",25.0,61079950,"Men's or boys' bathrobes, dressing gowns, & similar articles, of textile materials (except wool), containing 70% or more by wt of silk, k/c",0.8,24.2
